Episode,Success Rate,Average Arrival time,std_at,Collision Rate,Timeout Rate,Trajectory Efficiency,std_te
2420,92.00,11.78,2.28,7.00,0.00,0.6552,0.1621
2440,92.00,11.78,2.28,7.00,0.00,0.6543,0.1626
2460,92.00,11.79,2.29,7.00,0.00,0.6546,0.1612
2480,92.00,11.79,2.29,7.00,0.00,0.6547,0.1600
2500,92.00,11.79,2.29,7.00,0.00,0.6538,0.1604
2520,92.00,11.79,2.30,7.00,0.00,0.6536,0.1589
2540,92.00,11.79,2.31,7.00,0.00,0.6535,0.1600
2560,92.00,11.79,2.31,7.00,0.00,0.6536,0.1592
2580,92.00,11.79,2.31,7.00,0.00,0.6528,0.1597
2600,92.00,11.79,2.31,7.00,0.00,0.6536,0.1593
2620,92.00,11.79,2.32,7.00,0.00,0.6539,0.1602
2640,92.00,11.79,2.32,7.00,0.00,0.6550,0.1602
2660,92.00,11.79,2.32,7.00,0.00,0.6540,0.1602
2680,92.00,11.79,2.32,7.00,0.00,0.6542,0.1594
2700,92.00,11.79,2.32,7.00,0.00,0.6545,0.1584
2720,92.00,11.79,2.32,7.00,0.00,0.6546,0.1595
2740,92.00,11.79,2.33,7.00,0.00,0.6552,0.1588
2760,93.00,11.79,2.33,6.00,0.00,0.6554,0.1583
2780,92.00,11.79,2.34,7.00,0.00,0.6559,0.1582
2800,92.00,11.79,2.34,7.00,0.00,0.6556,0.1571
2820,92.00,11.79,2.34,7.00,0.00,0.6547,0.1590
2840,92.00,11.79,2.34,7.00,0.00,0.6538,0.1591
2860,92.00,11.79,2.35,7.00,0.00,0.6537,0.1583
2880,92.00,11.78,2.33,7.00,0.00,0.6544,0.1581
2900,92.00,11.78,2.33,7.00,0.00,0.6543,0.1588
2920,92.00,11.78,2.34,7.00,0.00,0.6541,0.1584
2940,92.00,11.78,2.34,7.00,0.00,0.6539,0.1576
2960,92.00,11.78,2.34,7.00,0.00,0.6538,0.1567
2980,92.00,11.77,2.33,7.00,0.00,0.6539,0.1556
3000,92.00,11.77,2.33,7.00,0.00,0.6539,0.1546
3020,92.00,11.77,2.33,7.00,0.00,0.6538,0.1538
3040,92.00,11.77,2.34,7.00,0.00,0.6530,0.1539
3060,92.00,11.77,2.34,7.00,0.00,0.6533,0.1536
3080,92.00,11.77,2.34,7.00,0.00,0.6537,0.1533
3100,92.00,11.77,2.34,7.00,0.00,0.6532,0.1539
3120,92.00,11.77,2.34,7.00,0.00,0.6542,0.1543
3140,92.00,11.77,2.34,7.00,0.00,0.6538,0.1548
3160,92.00,11.77,2.34,7.00,0.00,0.6533,0.1553
3180,92.00,11.77,2.35,7.00,0.00,0.6534,0.1548
3200,92.00,11.77,2.35,7.00,0.00,0.6532,0.1542
3220,92.00,11.77,2.35,7.00,0.00,0.6530,0.1534
3240,92.00,11.77,2.35,7.00,0.00,0.6528,0.1527
3260,92.00,11.77,2.35,7.00,0.00,0.6522,0.1530
3280,92.00,11.77,2.35,7.00,0.00,0.6518,0.1526
3300,92.00,11.77,2.35,7.00,0.00,0.6516,0.1518
3320,92.00,11.77,2.35,7.00,0.00,0.6518,0.1515
3340,92.00,11.77,2.35,7.00,0.00,0.6519,0.1508
3360,92.00,11.77,2.35,7.00,0.00,0.6519,0.1503
3380,92.00,11.77,2.35,7.00,0.00,0.6522,0.1500
3400,92.00,11.77,2.36,7.00,0.00,0.6522,0.1496
3420,92.00,11.77,2.36,7.00,0.00,0.6519,0.1500
3440,92.00,11.76,2.35,7.00,0.00,0.6520,0.1493
3460,92.00,11.76,2.35,7.00,0.00,0.6519,0.1487
3480,92.00,11.76,2.35,7.00,0.00,0.6519,0.1481
3500,92.00,11.76,2.35,7.00,0.00,0.6517,0.1476
3520,92.00,11.75,2.34,7.00,0.00,0.6520,0.1472
3540,92.00,11.75,2.34,7.00,0.00,0.6520,0.1469
3560,92.00,11.75,2.34,7.00,0.00,0.6522,0.1468
3580,92.00,11.75,2.34,7.00,0.00,0.6524,0.1462
3600,92.00,11.75,2.34,7.00,0.00,0.6521,0.1464
3620,92.00,11.75,2.34,7.00,0.00,0.6522,0.1463
3640,92.00,11.75,2.34,7.00,0.00,0.6524,0.1461
3660,92.00,11.75,2.34,7.00,0.00,0.6521,0.1465
3680,92.00,11.75,2.34,7.00,0.00,0.6525,0.1463
