time,ID,x,x_idx,y,y_idx,yaw
3,3,-1.065225091,49,0.2638908254,63,1.8293023241
3.1,0,-0.4425051182,56,-1.0373781451,50,-2.9488186279
3.1,1,0.4445900935,64,0.9940271845,70,0.2213489647
3.1,2,1.0069241063,70,-0.4967416938,55,-1.2908795008
3.1,3,-1.0934341496,49,0.3791434963,64,1.8002719072
3.2,0,-0.5810021325,54,-1.0667384227,49,-2.928668213
3.2,1,0.5812518265,66,1.026203288,70,0.2435566909
3.2,2,1.0428114049,70,-0.6226974086,54,-1.2874513384
3.2,3,-1.1211971817,49,0.5092522566,65,1.7524947253
3.3,0,-0.7170653602,53,-1.0940049979,49,-2.9473071161
3.3,1,0.7193580541,67,1.0599992384,71,0.2431680681
3.3,2,1.0803180219,71,-0.7588750752,52,-1.3297247833
3.3,3,-1.1456601877,49,0.6479052276,66,1.736143205
3.4,0,-0.8577060619,51,-1.1197929259,49,-2.9626833052
3.4,1,0.8504302714,69,1.0906826857,71,0.2174238578
3.4,2,1.1132761332,71,-0.8993942288,51,-1.3356223582
3.4,3,-1.1656629385,48,0.7838554339,68,1.7083617857
3.5,0,-0.9916571353,50,-1.1454747271,49,-2.9379929184
3.5,1,0.9875938004,70,1.122388145,71,0.2349751987
3.5,2,1.1465052813,71,-1.031093902,50,-1.3031291092
3.5,3,-1.1834604161,48,0.9147235555,69,1.6942332065
3.6,0,-1.121682633,49,-1.1737080859,48,-2.9089074251
3.6,1,1.1150062494,71,1.1552276812,72,0.2672054328
3.6,2,1.1845542064,72,-1.1603845642,48,-1.2559414168
3.6,3,-1.1981726993,48,1.0361401727,70,1.7038452036
3.7,0,-1.2560845791,47,-1.2108821863,48,-2.8399673978
3.7,1,1.2550847105,73,1.1966551686,72,0.3086504561
3.7,2,1.2309349354,72,-1.2908275389,47,-1.2022405619
3.7,3,-1.217433797,48,1.1763900903,72,1.7208288477
3.8,0,-1.3897195645,46,-1.2559317974,47,-2.7948458803
3.8,1,1.3865707919,74,1.2405422389,72,0.3330865506
3.8,2,1.2857933097,73,-1.4224727549,46,-1.1536173979
3.8,3,-1.241291628,48,1.3121886542,73,1.7522324969
3.9,0,-1.5199698213,45,-1.3083057435,47,-2.7143998662
3.9,1,1.5189779677,75,1.2927178913,73,0.4349186423
3.9,2,1.3442713484,73,-1.5391068261,45,-1.0519184822
3.9,3,-1.2648716403,47,1.4512701005,75,1.7173599896
